Currency,Rate vs USD,Updated
NGN,1390.235302,"Fri, 13 Mar 2026 00:02:32 +0000"
GHS,10.819594,"Fri, 13 Mar 2026 00:02:32 +0000"
KES,129.287225,"Fri, 13 Mar 2026 00:02:32 +0000"
ZAR,16.724552,"Fri, 13 Mar 2026 00:02:32 +0000"
EGP,52.404425,"Fri, 13 Mar 2026 00:02:32 +0000"
XOF,568.879663,"Fri, 13 Mar 2026 00:02:32 +0000"
ETB,154.796102,"Fri, 13 Mar 2026 00:02:32 +0000"
UGX,3728.765427,"Fri, 13 Mar 2026 00:02:32 +0000"
TZS,2581.717093,"Fri, 13 Mar 2026 00:02:32 +0000"
MAD,9.382961,"Fri, 13 Mar 2026 00:02:32 +0000"
