Currency,Rate vs USD,Updated
NGN,1394.820128,"Wed, 11 Mar 2026 00:02:32 +0000"
GHS,10.805667,"Wed, 11 Mar 2026 00:02:32 +0000"
KES,129.326684,"Wed, 11 Mar 2026 00:02:32 +0000"
ZAR,16.280458,"Wed, 11 Mar 2026 00:02:32 +0000"
EGP,51.97718,"Wed, 11 Mar 2026 00:02:32 +0000"
XOF,564.238889,"Wed, 11 Mar 2026 00:02:32 +0000"
ETB,154.767951,"Wed, 11 Mar 2026 00:02:32 +0000"
UGX,3715.343095,"Wed, 11 Mar 2026 00:02:32 +0000"
TZS,2559.595125,"Wed, 11 Mar 2026 00:02:32 +0000"
MAD,9.326334,"Wed, 11 Mar 2026 00:02:32 +0000"
